"","instant","dteday","season","yr","mnth","holiday","weekday","workingday","weathersit","temp","atemp","hum","windspeed","count","cnt","type"
"1",1,"2011-01-01","winter",0,1,0,"Sat",0,2,0.344167,0.363625,0.805833,0.160446,331,985,"casual"
"2",2,"2011-01-02","winter",0,1,0,"Sun",0,2,0.363478,0.353739,0.696087,0.248539,131,801,"casual"
"3",3,"2011-01-03","winter",0,1,0,"Mon",1,1,0.196364,0.189405,0.437273,0.248309,120,1349,"casual"
"4",4,"2011-01-04","winter",0,1,0,"Tues",1,1,0.2,0.212122,0.590435,0.160296,108,1562,"casual"
"5",5,"2011-01-05","winter",0,1,0,"Wed",1,1,0.226957,0.22927,0.436957,0.1869,82,1600,"casual"
"6",6,"2011-01-06","winter",0,1,0,"Thu",1,1,0.204348,0.233209,0.518261,0.0895652,88,1606,"casual"
"7",7,"2011-01-07","winter",0,1,0,"Fri",1,2,0.196522,0.208839,0.498696,0.168726,148,1510,"casual"
"8",8,"2011-01-08","winter",0,1,0,"Sat",0,2,0.165,0.162254,0.535833,0.266804,68,959,"casual"
"9",9,"2011-01-09","winter",0,1,0,"Sun",0,1,0.138333,0.116175,0.434167,0.36195,54,822,"casual"
"10",10,"2011-01-10","winter",0,1,0,"Mon",1,1,0.150833,0.150888,0.482917,0.223267,41,1321,"casual"
"11",11,"2011-01-11","winter",0,1,0,"Tues",1,2,0.169091,0.191464,0.686364,0.122132,43,1263,"casual"
"12",12,"2011-01-12","winter",0,1,0,"Wed",1,1,0.172727,0.160473,0.599545,0.304627,25,1162,"casual"
"13",13,"2011-01-13","winter",0,1,0,"Thu",1,1,0.165,0.150883,0.470417,0.301,38,1406,"casual"
"14",14,"2011-01-14","winter",0,1,0,"Fri",1,1,0.16087,0.188413,0.537826,0.126548,54,1421,"casual"
"15",15,"2011-01-15","winter",0,1,0,"Sat",0,2,0.233333,0.248112,0.49875,0.157963,222,1248,"casual"
"16",16,"2011-01-16","winter",0,1,0,"Sun",0,1,0.231667,0.234217,0.48375,0.188433,251,1204,"casual"
"17",17,"2011-01-17","winter",0,1,1,"Mon",0,2,0.175833,0.176771,0.5375,0.194017,117,1000,"casual"
"18",18,"2011-01-18","winter",0,1,0,"Tues",1,2,0.216667,0.232333,0.861667,0.146775,9,683,"casual"
"19",19,"2011-01-19","winter",0,1,0,"Wed",1,2,0.292174,0.298422,0.741739,0.208317,78,1650,"casual"
"20",20,"2011-01-20","winter",0,1,0,"Thu",1,2,0.261667,0.25505,0.538333,0.195904,83,1927,"casual"
