lat,long,Road1,Road2
42.995297,-81.253288,Richmond ,Oxford
42.994948,-81.252721,Richmond ,Piccadilly
42.994773,-81.252492,Richmond ,Piccadilly
42.994663,-81.252953,Richmond ,Piccadilly
42.993999,-81.252228,Richmond ,Piccadilly
42.992677,-81.251526,Richmond ,Pall Mall
42.992895,-81.252292,Richmond ,Mill 
42.993733,-81.25247,Richmond ,Mill 
42.992676,-81.251526,Richmond ,Pall Mall
42.992009,-81.251179,Richmond ,John
42.990656,-81.250449,Richmond ,Central
42.99066,-81.25,Richmond ,Central
42.98998,-81.25,Richmond ,Central
42.991,-81.2505,Richmond ,Central
42.991,-81.2505,Richmond ,Central
42.9888,-81.251,Richmond ,Albert
42.9888,-81.251,Richmond ,Albert
42.9847,-81.2499,Queens,Richmond
42.9843,-81.2392,Colborne ,York
42.9847,-81.2382,York ,Waterloo
42.9832,-81.2401,Dundas,Maitland
42.987073,-81.2373,William,Dundas
42.98805,-81.234862,Dundas,Adelaide
42.988466,-81.232413,Dundas,Adelaide
42.988466,-81.232413,Dundas,Adelaide
42.988466,-81.232413,Dundas,Adelaide
42.988466,-81.232413,Dundas,Adelaide
42.984959,-81.244702,Dundas,Wellington
42.984959,-81.244702,Wellington,Queens
42.9855,-81.2452,Dundas,Riddell
42.987072,-81.237297,Dundas,William
42.983752,-81.244094,King,Wellington
42.983164,-81.244707,Wellington,King
42.983164,-81.244707,Wellington,King
42.982929,-81.247107,King,Clarence
42.982769,-81.247695,King,Clarence
42.982791,-81.24864,King,Richmond
42.982766,-81.248733,King,Talbot
42.982459,-81.250224,Ridout,York
42.985058,-81.235612,King,Ridout
42.9814,-81.254,King,Ridout
42.9814,-81.254,Central ,Richmond
42.988576,-81.246643,Talbot,Kent
42.9907,-81.251,Talbot,Queens
42.986538,-81.254135,Talbot,Carling
42.984229,-81.252543,Talbot,Kent
42.983666,-81.251963,Talbot,Queens
42.986538,-81.254135,Talbot,Carling
42.984229,-81.252543,Talbot,Dundas
42.983666,-81.251963,Talbot,King
42.982985,-81.251644,Talbot,King
42.981715,-81.25126,York ,Ridout
42.98132,-81.250807,York ,Wellington
42.984037,-81.251568,Carling ,Talbot
42.984222,-81.250783,Carling ,Richmond
42.983141,-81.253576,Dundas,Ridout
42.989537,-81.244569,Waterloo,Princess
42.989958,-81.25053,Clarence,Angel
42.985284,-81.247862,Queens,Clarence
42.9881,-81.246,Clarence,Queens
42.9849,-81.247505,Dundas,Clarence
42.984033,-81.247767,King,Clarence
42.982912,-81.247043,Clarence,King
42.9826,-81.2469,Wellington,Dundas
42.985122,-81.245737,Wellington,Wolfe
42.98998,-81.24782,Dufferin,Wellington
42.9881,-81.2461,Dundas,Waterloo
