Beverage_category,Beverage,Beverage_prep,size,kind,Calories,total_fat,trans_fat,saturated_fat,sodium,total_carbo,cholesterol,sugars,protein,vitA,vitC,calcium,iron,caffeine
Coffee,Brewed Coffee,Short,short,coffee,3,0.1,0,0,0,5,0,0,0.3,0%,0%,0%,0%,175
Coffee,Brewed Coffee,Tall,tall,coffee,4,0.1,0,0,0,10,0,0,0.5,0%,0%,0%,0%,260
Coffee,Brewed Coffee,Grande,grande,coffee,5,0.1,0,0,0,10,0,0,1,0%,0%,0%,0%,330
Coffee,Brewed Coffee,Venti,venti,coffee,5,0.1,0,0,0,10,0,0,1,0%,0%,2%,0%,410
Classic Espresso Drinks,Caffe Latte,Short Nonfat Milk,short,coffee,70,0.1,0.1,0,5,75,10,9,6,10%,0%,20%,0%,75
Classic Espresso Drinks,Caffe Latte,2% Milk,short,coffee,100,3.5,2,0.1,15,85,10,9,6,10%,0%,20%,0%,75
Classic Espresso Drinks,Caffe Latte,Soymilk,short,coffee,70,2.5,0.4,0,0,65,6,4,5,6%,0%,20%,8%,75
Classic Espresso Drinks,Caffe Latte,Tall Nonfat Milk,tall,coffee,100,0.2,0.2,0,5,120,15,14,10,15%,0%,30%,0%,75
Classic Espresso Drinks,Caffe Latte,2% Milk,tall,coffee,150,6,3,0.2,25,135,15,14,10,15%,0%,30%,0%,75
Classic Espresso Drinks,Caffe Latte,Soymilk,tall,coffee,110,4.5,0.5,0,0,105,10,6,8,10%,0%,30%,15%,75
Classic Espresso Drinks,Caffe Latte,Grande Nonfat Milk,grande,coffee,130,0.3,0.2,0,5,150,19,18,13,20%,0%,40%,0%,150
Classic Espresso Drinks,Caffe Latte,2% Milk,grande,coffee,190,7,3.5,0.2,30,170,19,17,12,20%,2%,40%,0%,150
Classic Espresso Drinks,Caffe Latte,Soymilk,grande,coffee,150,5,0.5,0,0,130,13,8,10,15%,0%,40%,15%,150
Classic Espresso Drinks,Caffe Latte,Venti Nonfat Milk,venti,coffee,170,0.4,0.3,0,10,190,25,23,16,30%,0%,50%,0%,150
Classic Espresso Drinks,Caffe Latte,2% Milk,venti,coffee,240,9,4.5,0.3,35,220,24,22,16,25%,2%,50%,0%,150
Classic Espresso Drinks,Caffe Latte,Soymilk,venti,coffee,190,7,1,0,0,170,16,11,13,20%,0%,50%,25%,150
Classic Espresso Drinks,Caffe Mocha (Without Whipped Cream),Short Nonfat Milk,short,coffee,110,1.5,1,0,5,60,21,17,7,8%,0%,15%,10%,85
Classic Espresso Drinks,Caffe Mocha (Without Whipped Cream),2% Milk,short,coffee,130,4,2,0.1,10,70,21,17,6,8%,0%,15%,10%,85
Classic Espresso Drinks,Caffe Mocha (Without Whipped Cream),Soymilk,short,coffee,110,3.5,1,0,0,55,19,13,6,6%,0%,15%,20%,85
Classic Espresso Drinks,Caffe Mocha (Without Whipped Cream),Tall Nonfat Milk,tall,coffee,170,2,1,0,5,100,32,27,10,15%,0%,25%,20%,95
Classic Espresso Drinks,Caffe Mocha (Without Whipped Cream),2% Milk,tall,coffee,200,6,3.5,0.1,20,115,32,26,10,15%,0%,25%,20%,95
Classic Espresso Drinks,Caffe Mocha (Without Whipped Cream),Soymilk,tall,coffee,180,5,1.5,0,0,85,28,20,9,10%,0%,25%,30%,95
Classic Espresso Drinks,Caffe Mocha (Without Whipped Cream),Grande Nonfat Milk,grande,coffee,220,2.5,1.5,0,5,125,43,34,13,20%,0%,35%,25%,175
Classic Espresso Drinks,Caffe Mocha (Without Whipped Cream),2% Milk,grande,coffee,260,8,4.5,0.2,25,140,42,34,13,15%,2%,35%,25%,175
Classic Espresso Drinks,Caffe Mocha (Without Whipped Cream),Soymilk,grande,coffee,230,7,2,0,0,105,37,26,11,10%,0%,35%,40%,175
Classic Espresso Drinks,Caffe Mocha (Without Whipped Cream),Venti Nonfat Milk,venti,coffee,280,3,2,0,10,160,54,44,17,25%,0%,45%,30%,180
Classic Espresso Drinks,Caffe Mocha (Without Whipped Cream),2% Milk,venti,coffee,340,11,6,0.2,30,180,53,43,17,20%,2%,45%,30%,180
Classic Espresso Drinks,Caffe Mocha (Without Whipped Cream),Soymilk,venti,coffee,290,9,2.5,0,0,140,47,33,14,15%,0%,45%,50%,180
